pygame 2.0.1 (SDL 2.0.14, Python 3.7.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
pong_v2 pettingzoo
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:26: UserWarning: Converting G to a CSC matrix; may take a while.
  warn("Converting G to a CSC matrix; may take a while.")
/home/zihan/anaconda3/envs/x/lib/python3.7/site-packages/ecos/ecos.py:29: UserWarning: Converting A to a CSC matrix; may take a while.
  warn("Converting A to a CSC matrix; may take a while.")
random seed: [91, 69]
<SubprocVectorEnv instance>
No agent are not learnable.
Arguments:  {'env_name': 'pong_v2', 'env_type': 'pettingzoo', 'num_envs': 2, 'ram': True, 'seed': 'random', 'algorithm': 'NashPPO', 'algorithm_spec': {'episodic_update': True, 'dueling': False, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000, 'lambda': 0.95, 'eps_clip': 0.2, 'K_epoch': 4, 'GAE': True}, 'batch_size': 128, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 0, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'multiprocess': False, 'eval_models': False, 'save_path': '', 'save_interval': 2000, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'ReLU', 'output_activation': False, 'policy': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': 'Softmax'}, 'value': {'hidden_dim_list': [128, 128, 128, 128], 'hidden_activation': 'ReLU', 'output_activation': False}}, 'marl_method': 'nash_ppo', 'marl_spec': {'min_update_interval': 20, 'score_avg_window': 10, 'global_state': True}}
Save models to : /home/zihan/research/MARS/data/model/20220119_0524/pettingzoo_pong_v2_nash_ppo. 
 Save logs to: /home/zihan/research/MARS/data/log/20220119_0524/pettingzoo_pong_v2_nash_ppo.
Episode: 1/10000 (0.0100%),                 avg. length: 1186.0,                last time consumption/overall running time: 14.8605s / 14.8605 s
env0_second_0:                 episode reward: 0.9500,                 loss: 0.7057
env1_first_0:                 episode reward: 4.6000,                 loss: nan
env1_second_0:                 episode reward: -4.6000,                 loss: nan
Episode: 141/10000 (1.4100%),                 avg. length: 1141.95,                last time consumption/overall running time: 376.5034s / 2607.5767 s
env0_first_0:                 episode reward: 3.0000,                 loss: 0.6491
env0_second_0:                 episode reward: -3.0000,                 loss: 0.6530
env1_first_0:                 episode reward: 6.0500,                 loss: nan
env1_second_0:                 episode reward: -6.0500,                 loss: nan
Episode: 161/10000 (1.6100%),                 avg. length: 1169.65,                last time consumption/overall running time: 386.0965s / 2993.6732 s
env0_first_0:                 episode reward: 1.6500,                 loss: 0.6393
env0_second_0:                 episode reward: -1.6500,                 loss: 0.6593
env1_first_0:                 episode reward: 2.8000,                 loss: nan
env1_second_0:                 episode reward: -2.8000,                 loss: nan
Episode: 181/10000 (1.8100%),                 avg. length: 1204.4,                last time consumption/overall running time: 397.4726s / 3391.1458 s
env0_first_0:                 episode reward: 4.3000,                 loss: 0.6654
env0_second_0:                 episode reward: -4.3000,                 loss: 0.6753
env1_first_0:                 episode reward: 0.9500,                 loss: nan
env1_second_0:                 episode reward: -0.9500,                 loss: nan
Episode: 201/10000 (2.0100%),                 avg. length: 1080.35,                last time consumption/overall running time: 359.7427s / 3750.8885 s
env0_first_0:                 episode reward: 2.5000,                 loss: 0.5531
env0_second_0:                 episode reward: -2.5000,                 loss: 0.5739
env1_first_0:                 episode reward: 3.1500,                 loss: nan
env1_second_0:                 episode reward: -3.1500,                 loss: nan
Episode: 221/10000 (2.2100%),                 avg. length: 1107.35,                last time consumption/overall running time: 367.7405s / 4118.6291 s
env0_first_0:                 episode reward: -0.2000,                 loss: 0.6862
env0_second_0:                 episode reward: 0.2000,                 loss: 0.6897
env1_first_0:                 episode reward: 4.0500,                 loss: nan
env1_second_0:                 episode reward: -4.0500,                 loss: nan
Episode: 241/10000 (2.4100%),                 avg. length: 1217.75,                last time consumption/overall running time: 401.5744s / 4520.2034 s
env0_first_0:                 episode reward: -3.8500,                 loss: 0.6753
env0_second_0:                 episode reward: 3.8500,                 loss: 0.6811
env1_first_0:                 episode reward: -0.8500,                 loss: nan
env1_second_0:                 episode reward: 0.8500,                 loss: nan
Episode: 261/10000 (2.6100%),                 avg. length: 1146.5,                last time consumption/overall running time: 380.7072s / 4900.9107 s
env0_first_0:                 episode reward: 1.1000,                 loss: 0.6517
env0_second_0:                 episode reward: -1.1000,                 loss: 0.6576
env1_first_0:                 episode reward: -4.1000,                 loss: nan
env1_second_0:                 episode reward: 4.1000,                 loss: nan
Episode: 281/10000 (2.8100%),                 avg. length: 1131.1,                last time consumption/overall running time: 375.7212s / 5276.6319 s
env0_first_0:                 episode reward: -6.5500,                 loss: 0.6369
env0_second_0:                 episode reward: 6.5500,                 loss: 0.6293
env1_first_0:                 episode reward: 0.8500,                 loss: nan
env1_second_0:                 episode reward: -0.8500,                 loss: nan
Episode: 301/10000 (3.0100%),                 avg. length: 1069.85,                last time consumption/overall running time: 355.5569s / 5632.1887 s
env0_first_0:                 episode reward: -3.1500,                 loss: 0.5946
env0_second_0:                 episode reward: 3.1500,                 loss: 0.6063
env1_first_0:                 episode reward: -5.6000,                 loss: nan
env1_second_0:                 episode reward: 5.6000,                 loss: nan
Episode: 321/10000 (3.2100%),                 avg. length: 1200.45,                last time consumption/overall running time: 395.6041s / 6027.7928 s
env0_first_0:                 episode reward: -4.7000,                 loss: 0.6042
env0_second_0:                 episode reward: 4.7000,                 loss: 0.6113
env1_first_0:                 episode reward: -1.6000,                 loss: nan
env1_second_0:                 episode reward: 1.6000,                 loss: nan
Episode: 341/10000 (3.4100%),                 avg. length: 1259.4,                last time consumption/overall running time: 413.8923s / 6441.6851 s
env0_first_0:                 episode reward: -4.0500,                 loss: 0.6744
env0_second_0:                 episode reward: 4.0500,                 loss: 0.6675
env1_first_0:                 episode reward: -3.1500,                 loss: nan
env1_second_0:                 episode reward: 3.1500,                 loss: nan
Episode: 361/10000 (3.6100%),                 avg. length: 1222.15,                last time consumption/overall running time: 403.1203s / 6844.8054 s
env0_first_0:                 episode reward: -5.3500,                 loss: 0.5955
env0_second_0:                 episode reward: 5.3500,                 loss: 0.5889
env1_first_0:                 episode reward: -6.9000,                 loss: nan
env1_second_0:                 episode reward: 6.9000,                 loss: nan
Episode: 381/10000 (3.8100%),                 avg. length: 1123.25,                last time consumption/overall running time: 371.2458s / 7216.0511 s
env0_first_0:                 episode reward: -7.2500,                 loss: 0.5528
env0_second_0:                 episode reward: 7.2500,                 loss: 0.5542
env1_first_0:                 episode reward: -8.5000,                 loss: nan
env1_second_0:                 episode reward: 8.5000,                 loss: nan
Episode: 401/10000 (4.0100%),                 avg. length: 1248.6,                last time consumption/overall running time: 410.4585s / 7626.5096 s
env0_first_0:                 episode reward: -9.8000,                 loss: 0.4856
env0_second_0:                 episode reward: 9.8000,                 loss: 0.4922
env1_first_0:                 episode reward: -7.3500,                 loss: nan
env1_second_0:                 episode reward: 7.3500,                 loss: nan
Episode: 421/10000 (4.2100%),                 avg. length: 1313.1,                last time consumption/overall running time: 431.7988s / 8058.3084 s
env0_first_0:                 episode reward: -10.2500,                 loss: 0.4451
env0_second_0:                 episode reward: 10.2500,                 loss: 0.4543
env1_first_0:                 episode reward: -8.5000,                 loss: nan
env1_second_0:                 episode reward: 8.5000,                 loss: nan
Episode: 441/10000 (4.4100%),                 avg. length: 1210.95,                last time consumption/overall running time: 399.6982s / 8458.0066 s
env0_first_0:                 episode reward: -9.5000,                 loss: 0.3835
env0_second_0:                 episode reward: 9.5000,                 loss: 0.3897
env1_first_0:                 episode reward: -12.5500,                 loss: nan
env1_second_0:                 episode reward: 12.5500,                 loss: nan
Episode: 461/10000 (4.6100%),                 avg. length: 1264.8,                last time consumption/overall running time: 416.2746s / 8874.2813 s
env0_first_0:                 episode reward: -10.0500,                 loss: 0.4517
env0_second_0:                 episode reward: 10.0500,                 loss: 0.4577
env1_first_0:                 episode reward: -8.8000,                 loss: nan
env1_second_0:                 episode reward: 8.8000,                 loss: nan
Episode: 481/10000 (4.8100%),                 avg. length: 1474.75,                last time consumption/overall running time: 481.7214s / 9356.0027 s
env0_first_0:                 episode reward: -5.5000,                 loss: 0.4430
env0_second_0:                 episode reward: 5.5000,                 loss: 0.4360
env1_first_0:                 episode reward: -6.3500,                 loss: nan
env1_second_0:                 episode reward: 6.3500,                 loss: nan
Episode: 501/10000 (5.0100%),                 avg. length: 1614.45,                last time consumption/overall running time: 527.8615s / 9883.8641 s
env0_first_0:                 episode reward: -4.7000,                 loss: 0.4270
env0_second_0:                 episode reward: 4.7000,                 loss: 0.4246
env1_first_0:                 episode reward: -3.1500,                 loss: nan
env1_second_0:                 episode reward: 3.1500,                 loss: nan
Episode: 521/10000 (5.2100%),                 avg. length: 1740.95,                last time consumption/overall running time: 566.4350s / 10450.2991 s
env0_first_0:                 episode reward: -1.6500,                 loss: 0.3699
env0_second_0:                 episode reward: 1.6500,                 loss: 0.3692
env1_first_0:                 episode reward: -2.7500,                 loss: nan
env1_second_0:                 episode reward: 2.7500,                 loss: nan
Episode: 541/10000 (5.4100%),                 avg. length: 1854.05,                last time consumption/overall running time: 598.2291s / 11048.5282 s
env0_first_0:                 episode reward: -0.7500,                 loss: 0.3484
env0_second_0:                 episode reward: 0.7500,                 loss: 0.3360
env1_first_0:                 episode reward: -1.1500,                 loss: nan
env1_second_0:                 episode reward: 1.1500,                 loss: nan
Episode: 561/10000 (5.6100%),                 avg. length: 1776.15,                last time consumption/overall running time: 574.7987s / 11623.3269 s
env0_first_0:                 episode reward: -2.5500,                 loss: 0.3277
env0_second_0:                 episode reward: 2.5500,                 loss: 0.3196
env1_first_0:                 episode reward: -4.0500,                 loss: nan
env1_second_0:                 episode reward: 4.0500,                 loss: nan
Episode: 581/10000 (5.8100%),                 avg. length: 1848.55,                last time consumption/overall running time: 599.8596s / 12223.1865 s
env0_first_0:                 episode reward: 1.6500,                 loss: 0.3344
env0_second_0:                 episode reward: -1.6500,                 loss: 0.3253
env1_first_0:                 episode reward: -2.6500,                 loss: nan
env1_second_0:                 episode reward: 2.6500,                 loss: nan
Episode: 601/10000 (6.0100%),                 avg. length: 1926.15,                last time consumption/overall running time: 619.6347s / 12842.8212 s
env0_first_0:                 episode reward: 3.5000,                 loss: 0.3213
env0_second_0:                 episode reward: -3.5000,                 loss: 0.3077
env1_first_0:                 episode reward: 0.2500,                 loss: nan
env1_second_0:                 episode reward: -0.2500,                 loss: nan
Episode: 621/10000 (6.2100%),                 avg. length: 1891.05,                last time consumption/overall running time: 611.5341s / 13454.3552 s
env0_first_0:                 episode reward: 0.8000,                 loss: 0.3120
env0_second_0:                 episode reward: -0.8000,                 loss: 0.3035
env1_first_0:                 episode reward: 1.0500,                 loss: nan
env1_second_0:                 episode reward: -1.0500,                 loss: nan
Episode: 641/10000 (6.4100%),                 avg. length: 1868.15,                last time consumption/overall running time: 603.0106s / 14057.3658 s
env0_first_0:                 episode reward: 5.4500,                 loss: 0.3075
env0_second_0:                 episode reward: -5.4500,                 loss: 0.2949
env1_first_0:                 episode reward: 0.0500,                 loss: nan
env1_second_0:                 episode reward: -0.0500,                 loss: nan
Episode: 661/10000 (6.6100%),                 avg. length: 1988.5,                last time consumption/overall running time: 642.9943s / 14700.3601 s
env0_first_0:                 episode reward: 2.4500,                 loss: 0.2881
env0_second_0:                 episode reward: -2.4500,                 loss: 0.2800
env1_first_0:                 episode reward: 0.7000,                 loss: nan
env1_second_0:                 episode reward: -0.7000,                 loss: nan
Episode: 681/10000 (6.8100%),                 avg. length: 1836.0,                last time consumption/overall running time: 593.8877s / 15294.2477 s
env0_first_0:                 episode reward: 2.4500,                 loss: 0.2860
env0_second_0:                 episode reward: -2.4500,                 loss: 0.2793
env1_first_0:                 episode reward: 2.6000,                 loss: nan
env1_second_0:                 episode reward: -2.6000,                 loss: nan
Episode: 701/10000 (7.0100%),                 avg. length: 1878.7,                last time consumption/overall running time: 605.2417s / 15899.4894 s
env0_first_0:                 episode reward: 1.7500,                 loss: 0.2712
env0_second_0:                 episode reward: -1.7500,                 loss: 0.2662
env1_first_0:                 episode reward: 1.7000,                 loss: nan
env1_second_0:                 episode reward: -1.7000,                 loss: nan
Episode: 721/10000 (7.2100%),                 avg. length: 1929.25,                last time consumption/overall running time: 625.0033s / 16524.4927 s
env0_first_0:                 episode reward: -1.6000,                 loss: 0.2722
env0_second_0:                 episode reward: 1.6000,                 loss: 0.2647
env1_first_0:                 episode reward: -1.8500,                 loss: nan
env1_second_0:                 episode reward: 1.8500,                 loss: nan
Episode: 741/10000 (7.4100%),                 avg. length: 2051.0,                last time consumption/overall running time: 657.6777s / 17182.1704 s
env0_first_0:                 episode reward: -1.6000,                 loss: 0.2161
env0_second_0:                 episode reward: 1.6000,                 loss: 0.2098
env1_first_0:                 episode reward: -1.7000,                 loss: nan
env1_second_0:                 episode reward: 1.7000,                 loss: nan
Episode: 761/10000 (7.6100%),                 avg. length: 1995.8,                last time consumption/overall running time: 640.1021s / 17822.2725 s
env0_first_0:                 episode reward: 0.5500,                 loss: 0.2452
env0_second_0:                 episode reward: -0.5500,                 loss: 0.2384
env1_first_0:                 episode reward: -1.0500,                 loss: nan
env1_second_0:                 episode reward: 1.0500,                 loss: nan
Episode: 781/10000 (7.8100%),                 avg. length: 1910.6,                last time consumption/overall running time: 615.7953s / 18438.0678 s
env0_first_0:                 episode reward: -0.7500,                 loss: 0.2560
env0_second_0:                 episode reward: 0.7500,                 loss: 0.2457
env1_first_0:                 episode reward: -1.4000,                 loss: nan
env1_second_0:                 episode reward: 1.4000,                 loss: nan
Episode: 801/10000 (8.0100%),                 avg. length: 2026.45,                last time consumption/overall running time: 653.0374s / 19091.1052 s
env0_first_0:                 episode reward: -3.0500,                 loss: 0.2416
env0_second_0:                 episode reward: 3.0500,                 loss: 0.2304
env1_first_0:                 episode reward: 1.6500,                 loss: nan
env1_second_0:                 episode reward: -1.6500,                 loss: nan
Episode: 821/10000 (8.2100%),                 avg. length: 1906.5,                last time consumption/overall running time: 615.9995s / 19707.1047 s
env0_first_0:                 episode reward: -0.1500,                 loss: 0.2494
env0_second_0:                 episode reward: 0.1500,                 loss: 0.2429
env1_first_0:                 episode reward: 1.1500,                 loss: nan
env1_second_0:                 episode reward: -1.1500,                 loss: nan
Episode: 841/10000 (8.4100%),                 avg. length: 1896.1,                last time consumption/overall running time: 614.0311s / 20321.1358 s
env0_first_0:                 episode reward: -1.0000,                 loss: 0.2673
env0_second_0:                 episode reward: 1.0000,                 loss: 0.2532
env1_first_0:                 episode reward: 0.6000,                 loss: nan
env1_second_0:                 episode reward: -0.6000,                 loss: nan
Episode: 861/10000 (8.6100%),                 avg. length: 1849.9,                last time consumption/overall running time: 595.9726s / 20917.1084 s
env0_first_0:                 episode reward: 1.3500,                 loss: 0.2396
env0_second_0:                 episode reward: -1.3500,                 loss: 0.2385
env1_first_0:                 episode reward: 1.1000,                 loss: nan
env1_second_0:                 episode reward: -1.1000,                 loss: nan
Episode: 881/10000 (8.8100%),                 avg. length: 1925.9,                last time consumption/overall running time: 621.2039s / 21538.3123 s
env0_first_0:                 episode reward: -2.0500,                 loss: 0.2373
env0_second_0:                 episode reward: 2.0500,                 loss: 0.2267
env1_first_0:                 episode reward: -0.0500,                 loss: nan
env1_second_0:                 episode reward: 0.0500,                 loss: nan
Episode: 901/10000 (9.0100%),                 avg. length: 1906.8,                last time consumption/overall running time: 618.1732s / 22156.4856 s
env0_first_0:                 episode reward: 0.6000,                 loss: 0.2209
env0_second_0:                 episode reward: -0.6000,                 loss: 0.2110
env1_first_0:                 episode reward: 1.7500,                 loss: nan
env1_second_0:                 episode reward: -1.7500,                 loss: nan
Episode: 921/10000 (9.2100%),                 avg. length: 1969.65,                last time consumption/overall running time: 633.2027s / 22789.6882 s
env0_first_0:                 episode reward: 2.1500,                 loss: 0.2260
env0_second_0:                 episode reward: -2.1500,                 loss: 0.2211
env1_first_0:                 episode reward: 0.5000,                 loss: nan
env1_second_0:                 episode reward: -0.5000,                 loss: nan
Episode: 941/10000 (9.4100%),                 avg. length: 2036.95,                last time consumption/overall running time: 654.0400s / 23443.7282 s
env0_first_0:                 episode reward: 1.8500,                 loss: 0.2151
env0_second_0:                 episode reward: -1.8500,                 loss: 0.2074
env1_first_0:                 episode reward: 2.0500,                 loss: nan
env1_second_0:                 episode reward: -2.0500,                 loss: nan
Episode: 961/10000 (9.6100%),                 avg. length: 2002.25,                last time consumption/overall running time: 645.0510s / 24088.7792 s
env0_first_0:                 episode reward: 0.8500,                 loss: 0.2314
env0_second_0:                 episode reward: -0.8500,                 loss: 0.2329
env1_first_0:                 episode reward: 2.7000,                 loss: nan
env1_second_0:                 episode reward: -2.7000,                 loss: nan
Episode: 981/10000 (9.8100%),                 avg. length: 1971.85,                last time consumption/overall running time: 635.8091s / 24724.5883 s
env0_first_0:                 episode reward: -0.6000,                 loss: 0.2100
env0_second_0:                 episode reward: 0.6000,                 loss: 0.1999
env1_first_0:                 episode reward: -1.5500,                 loss: nan
env1_second_0:                 episode reward: 1.5500,                 loss: nan
Episode: 1001/10000 (10.0100%),                 avg. length: 2061.15,                last time consumption/overall running time: 661.2909s / 25385.8792 s
env0_first_0:                 episode reward: -0.5500,                 loss: 0.2123
env0_second_0:                 episode reward: 0.5500,                 loss: 0.2134
env1_first_0:                 episode reward: -0.4000,                 loss: nan
env1_second_0:                 episode reward: 0.4000,                 loss: nan
Episode: 1021/10000 (10.2100%),                 avg. length: 2090.05,                last time consumption/overall running time: 673.4124s / 26059.2916 s
env0_first_0:                 episode reward: -0.4500,                 loss: 0.2068
env0_second_0:                 episode reward: 0.4500,                 loss: 0.1995
env1_first_0:                 episode reward: 0.1000,                 loss: nan
env1_second_0:                 episode reward: -0.1000,                 loss: nan
Episode: 1041/10000 (10.4100%),                 avg. length: 2058.2,                last time consumption/overall running time: 661.3983s / 26720.6899 s
env0_first_0:                 episode reward: 0.0500,                 loss: 0.1892
env0_second_0:                 episode reward: -0.0500,                 loss: 0.1919
env1_first_0:                 episode reward: -0.4500,                 loss: nan
env1_second_0:                 episode reward: 0.4500,                 loss: nan
Episode: 1061/10000 (10.6100%),                 avg. length: 1992.0,                last time consumption/overall running time: 642.0135s / 27362.7034 s
env0_first_0:                 episode reward: 0.2500,                 loss: 0.2361
env0_second_0:                 episode reward: -0.2500,                 loss: 0.2307
env1_first_0:                 episode reward: -1.9000,                 loss: nan
env1_second_0:                 episode reward: 1.9000,                 loss: nan
Episode: 1081/10000 (10.8100%),                 avg. length: 2027.25,                last time consumption/overall running time: 652.1510s / 28014.8544 s
env0_first_0:                 episode reward: 4.2500,                 loss: 0.2415
env0_second_0:                 episode reward: -4.2500,                 loss: 0.2406
env1_first_0:                 episode reward: 1.4000,                 loss: nan
env1_second_0:                 episode reward: -1.4000,                 loss: nan
Episode: 1101/10000 (11.0100%),                 avg. length: 1974.95,                last time consumption/overall running time: 637.2583s / 28652.1127 s
env0_first_0:                 episode reward: 5.2000,                 loss: 0.2175
env0_second_0:                 episode reward: -5.2000,                 loss: 0.2133
env1_first_0:                 episode reward: 2.7000,                 loss: nan
env1_second_0:                 episode reward: -2.7000,                 loss: nan
Episode: 1121/10000 (11.2100%),                 avg. length: 1973.4,                last time consumption/overall running time: 636.3719s / 29288.4846 s
env0_first_0:                 episode reward: 1.1500,                 loss: 0.2368
env0_second_0:                 episode reward: -1.1500,                 loss: 0.2321
env1_first_0:                 episode reward: 3.0000,                 loss: nan
env1_second_0:                 episode reward: -3.0000,                 loss: nan
Episode: 1141/10000 (11.4100%),                 avg. length: 2058.25,                last time consumption/overall running time: 660.4823s / 29948.9669 s
env0_first_0:                 episode reward: 1.5000,                 loss: 0.2042
env0_second_0:                 episode reward: -1.5000,                 loss: 0.1997
env1_first_0:                 episode reward: -0.5500,                 loss: nan
env1_second_0:                 episode reward: 0.5500,                 loss: nan
Episode: 1161/10000 (11.6100%),                 avg. length: 2035.05,                last time consumption/overall running time: 654.6038s / 30603.5706 s
env0_first_0:                 episode reward: -0.7500,                 loss: 0.2135
env0_second_0:                 episode reward: 0.7500,                 loss: 0.2019
env1_first_0:                 episode reward: 0.1000,                 loss: nan
env1_second_0:                 episode reward: -0.1000,                 loss: nan
Episode: 1181/10000 (11.8100%),                 avg. length: 2067.0,                last time consumption/overall running time: 664.1400s / 31267.7106 s
env0_first_0:                 episode reward: 0.1000,                 loss: 0.1911
env0_second_0:                 episode reward: -0.1000,                 loss: 0.1929
env1_first_0:                 episode reward: -0.5500,                 loss: nan
env1_second_0:                 episode reward: 0.5500,                 loss: nan
Episode: 1201/10000 (12.0100%),                 avg. length: 2067.9,                last time consumption/overall running time: 661.6706s / 31929.3812 s
env0_first_0:                 episode reward: -1.8500,                 loss: 0.2000
env0_second_0:                 episode reward: 1.8500,                 loss: 0.1995
env1_first_0:                 episode reward: -2.2500,                 loss: nan
env1_second_0:                 episode reward: 2.2500,                 loss: nan
Episode: 1221/10000 (12.2100%),                 avg. length: 2004.5,                last time consumption/overall running time: 645.0019s / 32574.3831 s
env0_first_0:                 episode reward: 2.9000,                 loss: 0.2001
env0_second_0:                 episode reward: -2.9000,                 loss: 0.2057
env1_first_0:                 episode reward: -1.7000,                 loss: nan
env1_second_0:                 episode reward: 1.7000,                 loss: nan
Episode: 1241/10000 (12.4100%),                 avg. length: 2075.55,                last time consumption/overall running time: 665.2049s / 33239.5880 s
env0_first_0:                 episode reward: 0.1500,                 loss: 0.2039
env0_second_0:                 episode reward: -0.1500,                 loss: 0.2077
env1_first_0:                 episode reward: 2.1500,                 loss: nan
env1_second_0:                 episode reward: -2.1500,                 loss: nan
Episode: 1261/10000 (12.6100%),                 avg. length: 2012.05,                last time consumption/overall running time: 645.2380s / 33884.8261 s
env0_first_0:                 episode reward: 0.1500,                 loss: 0.2305
env0_second_0:                 episode reward: -0.1500,                 loss: 0.2323
env1_first_0:                 episode reward: 2.3500,                 loss: nan
env1_second_0:                 episode reward: -2.3500,                 loss: nan
Episode: 1281/10000 (12.8100%),                 avg. length: 2078.05,                last time consumption/overall running time: 667.8196s / 34552.6457 s
env0_first_0:                 episode reward: 2.5500,                 loss: 0.2023
env0_second_0:                 episode reward: -2.5500,                 loss: 0.2052
env1_first_0:                 episode reward: 1.1500,                 loss: nan
env1_second_0:                 episode reward: -1.1500,                 loss: nan
Episode: 1301/10000 (13.0100%),                 avg. length: 2089.4,                last time consumption/overall running time: 668.8101s / 35221.4558 s
env0_first_0:                 episode reward: 0.8000,                 loss: 0.1973
